IdSorteo,Fecha,Numero1,Numero2,Numero3,Numero4,Numero5,Numero6,Fuente
1307,2026-06-14,2,33,22,28,21,17,https://resultados.latinka.com.pe/i.do?m=historico
1308,2026-06-17,18,42,48,19,14,21,https://resultados.latinka.com.pe/i.do?m=historico
1309,2026-06-21,3,20,1,40,52,23,https://resultados.latinka.com.pe/i.do?m=historico
1310,2026-06-24,23,15,24,12,29,3,https://resultados.latinka.com.pe/i.do?m=historico
1311,2026-06-28,31,17,36,41,28,13,https://resultados.latinka.com.pe/i.do?m=historico
1312,2026-07-01,6,36,22,3,47,24,https://resultados.latinka.com.pe/i.do?m=historico
1313,2026-07-05,11,49,13,2,37,46,https://resultados.latinka.com.pe/i.do?m=historico
1314,2026-07-08,36,21,6,48,7,38,https://resultados.latinka.com.pe/i.do?m=historico
1315,2026-07-12,23,39,32,22,17,53,https://resultados.latinka.com.pe/i.do?m=historico
1316,2026-07-15,51,36,10,7,25,8,https://resultados.latinka.com.pe/i.do?m=historico
1317,2026-07-19,52,20,40,1,2,33,https://resultados.latinka.com.pe/i.do?m=historico
1318,2026-07-22,12,47,13,40,30,53,https://resultados.latinka.com.pe/i.do?m=historico
1319,2026-07-26,17,27,37,46,43,47,https://resultados.latinka.com.pe/i.do?m=historico
1320,2026-07-29,15,13,2,5,18,31,https://resultados.latinka.com.pe/i.do?m=historico
1321,2026-08-02,5,18,14,52,44,10,https://resultados.latinka.com.pe/i.do?m=historico
1322,2026-08-05,19,40,7,13,21,50,https://resultados.latinka.com.pe/i.do?m=historico
1323,2026-08-09,12,30,26,53,37,29,https://resultados.latinka.com.pe/i.do?m=historico
1324,2026-08-12,39,45,27,21,31,11,https://resultados.latinka.com.pe/i.do?m=historico
1325,2026-08-16,45,32,36,4,43,12,https://resultados.latinka.com.pe/i.do?m=historico
1326,2026-08-19,12,9,32,51,14,43,https://resultados.latinka.com.pe/i.do?m=historico
1327,2026-08-23,26,14,10,42,48,11,https://resultados.latinka.com.pe/i.do?m=historico
1328,2026-08-26,52,22,1,44,14,35,https://resultados.latinka.com.pe/i.do?m=historico
1329,2026-08-30,1,37,48,15,39,38,https://resultados.latinka.com.pe/i.do?m=historico
1330,2026-09-02,13,11,35,36,27,10,https://resultados.latinka.com.pe/i.do?m=historico
1331,2026-09-06,23,20,17,41,25,42,https://blog.latinka.com.pe/resultado/tinka-resultado-domingo-06-de-septiembre-de-2026/
1332,2026-09-09,44,26,35,52,16,13,https://blog.latinka.com.pe/resultado/tinka-resultado-miercoles-09-de-septiembre-de-2026/
1333,2026-09-13,14,37,40,46,5,16,https://blog.latinka.com.pe/resultado/tinka-resultado-domingo-13-de-septiembre-de-2026/
1334,2026-09-16,33,8,19,42,41,18,https://blog.latinka.com.pe/resultado/tinka-resultado-miercoles-16-de-septiembre-de-2026/\n
